id,store_id,label_id,release_id,sum_units,count,store_name,type,sum_royalty,report_date,territory_id
18782,269,16,49566,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",183
18783,269,16,53692,20,0,"Apple Music",,0.14,"2018-02-13 00:00:00",99
18784,269,16,55359,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",30
18785,269,16,60265,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18786,269,16,60265,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",142
18787,269,16,60265,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",30
18788,269,16,60265,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",183
18789,269,16,60265,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18790,269,16,61606,4,0,"Apple Music",,0.03,"2018-02-13 00:00:00",81
18791,269,16,61606,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18792,269,16,65185,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",99
18793,269,16,70501,26,0,"Apple Music",,0.18,"2018-02-13 00:00:00",235
18794,269,16,70545,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18795,269,16,72764,154,0,"Apple Music",,1.08,"2018-02-13 00:00:00",81
18796,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",14
18797,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",14
18798,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",14
18799,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",14
18800,269,16,73877,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",14
18801,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18802,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",205
18803,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18804,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",205
18805,269,16,73877,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",205
18806,269,16,74959,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18807,269,16,74959,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",108
18808,269,16,74959,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18809,269,16,74959,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",228
18810,269,16,81451,33,0,"Apple Music",,0.23,"2018-02-13 00:00:00",81
18811,269,16,81453,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18812,269,16,85233,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",142
18813,269,16,85281,13,0,"Apple Music",,0.09,"2018-02-13 00:00:00",13
18814,269,16,85283,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",142
18815,269,16,89346,9,0,"Apple Music",,0.06,"2018-02-13 00:00:00",81
18816,269,16,89348,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",205
18817,269,16,92006,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",205
18818,269,16,93553,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",30
18819,269,16,95938,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18820,269,16,95938,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",45
18821,269,16,102543,11,0,"Apple Music",,0.08,"2018-02-13 00:00:00",81
18822,269,16,102543,14,0,"Apple Music",,0.10,"2018-02-13 00:00:00",81
18823,269,16,102544,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18824,269,16,105813,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",183
18825,269,16,108769,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18826,269,16,108769,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18827,269,16,109056,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",13
18828,269,16,111303,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",142
18829,269,16,111303,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",209
18830,269,16,111303,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",108
18831,269,16,112973,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",99
18832,269,16,123449,40,0,"Apple Music",,0.28,"2018-02-13 00:00:00",101
18833,269,16,123451,49,0,"Apple Music",,0.34,"2018-02-13 00:00:00",205
18834,269,16,126659,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18835,269,16,126659,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",14
18836,269,16,126659,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",13
18837,269,16,126659,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",81
18838,269,16,126659,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18839,269,16,126775,6,0,"Apple Music",,0.04,"2018-02-13 00:00:00",205
18840,269,16,126775,6,0,"Apple Music",,0.04,"2018-02-13 00:00:00",205
18841,269,16,126775,8,0,"Apple Music",,0.06,"2018-02-13 00:00:00",205
18842,269,16,126775,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18843,269,16,126775,6,0,"Apple Music",,0.04,"2018-02-13 00:00:00",81
18844,269,16,126775,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",99
18845,269,16,126775,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18846,269,16,126775,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",81
18847,269,16,126775,4,0,"Apple Music",,0.03,"2018-02-13 00:00:00",81
18848,269,16,220384,26,0,"Apple Music",,0.18,"2018-02-13 00:00:00",133
18849,269,18,4443,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18850,269,18,6195,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18851,269,18,6195,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",183
18852,269,18,6195,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",232
18853,269,18,8841,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18854,269,18,8841,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",40
18855,269,18,22650,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18856,269,18,22650,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",45
18857,269,18,31716,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18858,269,18,31716,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18859,269,18,31716,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18860,269,18,31716,3,0,"Apple Music",,0.02,"2018-02-13 00:00:00",232
18861,269,22,13805,60,0,"Apple Music",,0.42,"2018-02-13 00:00:00",235
18862,269,22,13805,12,0,"Apple Music",,0.08,"2018-02-13 00:00:00",235
18863,269,22,21788,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",142
18864,269,22,81334,8,0,"Apple Music",,0.06,"2018-02-13 00:00:00",183
18865,269,24,93875,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18866,269,27,807,7,0,"Apple Music",,0.05,"2018-02-13 00:00:00",232
18867,269,27,3828,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18868,269,33,6443,23,0,"Apple Music",,0.16,"2018-02-13 00:00:00",173
18869,269,33,6443,15,0,"Apple Music",,0.11,"2018-02-13 00:00:00",183
18870,269,33,6443,109,0,"Apple Music",,0.76,"2018-02-13 00:00:00",183
18871,269,33,7193,30,0,"Apple Music",,0.21,"2018-02-13 00:00:00",232
18872,269,33,7193,5,0,"Apple Music",,0.04,"2018-02-13 00:00:00",232
18873,269,33,7193,6,0,"Apple Music",,0.04,"2018-02-13 00:00:00",13
18874,269,33,9392,8,0,"Apple Music",,0.06,"2018-02-13 00:00:00",111
18875,269,33,9392,4,0,"Apple Music",,0.03,"2018-02-13 00:00:00",111
18876,269,33,9392,7,0,"Apple Music",,0.05,"2018-02-13 00:00:00",111
18877,269,33,9392,5,0,"Apple Music",,0.04,"2018-02-13 00:00:00",232
18878,269,33,9392,19,0,"Apple Music",,0.13,"2018-02-13 00:00:00",232
18879,269,33,14005,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",235
18880,269,33,14966,4,0,"Apple Music",,0.03,"2018-02-13 00:00:00",183
18881,269,33,18238,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",111
18882,269,33,18704,4,0,"Apple Music",,0.03,"2018-02-13 00:00:00",108
18883,269,33,23176,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18884,269,33,24325,2,0,"Apple Music",,0.01,"2018-02-13 00:00:00",233
18885,269,33,26607,7,0,"Apple Music",,0.05,"2018-02-13 00:00:00",111
18886,269,33,29204,1,0,"Apple Music",,0.01,"2018-02-13 00:00:00",232
18887,269,33,29560,104,0,"Apple Music",,0.73,"2018-02-13 00:00:00",232
